Quarter,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,S. Africa,Croatia,Israel,Slovenia,Colombia,Portugal
1991:Q4,55.22,56.80,76.93,122.79,108.89,49.34,64.58,68.11,59.57,47.08,28.96,91.85,162.23,170.36,57.26,42.23,54.53,45.07,72.88,64.73,63.29,149.67,87.46,88.36,129.51,107.87
1992:Q1,54.71,57.84,75.31,119.95,109.92,48.89,60.56,64.20,58.46,46.20,28.81,90.84,159.51,163.26,59.28,43.42,53.29,45.06,68.64,64.89,60.84,175.85,81.29,83.45,126.17,109.50
1992:Q2,54.81,58.57,75.31,117.24,109.82,48.25,58.29,61.22,57.57,44.77,28.74,93.03,157.02,156.95,59.64,42.56,53.86,45.04,66.66,64.25,57.66,191.44,82.44,88.39,123.95,110.56
1992:Q3,54.75,59.03,74.17,114.29,110.33,47.26,57.29,58.13,56.66,43.86,28.71,92.60,154.64,152.06,59.58,45.60,53.58,45.16,64.19,64.56,55.16,190.15,83.93,91.20,122.12,107.74
1992:Q4,54.80,59.38,73.72,111.73,110.80,46.19,56.24,56.16,56.44,42.46,28.71,92.88,152.34,149.79,59.15,44.62,52.32,45.69,60.45,64.58,55.62,190.28,80.71,93.72,120.95,105.43
1993:Q1,55.06,59.84,74.17,109.72,109.92,45.53,55.10,52.87,56.17,42.32,28.64,91.11,149.66,146.41,57.11,44.85,50.43,46.02,56.40,64.29,55.23,133.92,85.93,107.26,120.93,103.83
1993:Q2,55.02,60.53,73.75,107.83,110.14,44.89,55.23,52.34,55.63,42.16,28.69,89.94,147.90,142.61,56.52,46.29,51.69,46.41,54.66,64.28,54.22,129.03,89.57,108.74,121.77,103.14
1993:Q3,55.16,61.32,74.23,105.80,110.97,46.82,54.98,52.27,55.06,42.13,28.76,87.35,146.18,139.18,56.10,47.85,53.23,47.09,52.98,64.50,54.37,117.29,88.81,108.39,123.43,101.18
1993:Q4,55.28,62.20,73.48,105.68,111.49,49.51,54.40,52.20,55.00,41.66,28.86,85.43,145.21,135.36,55.84,47.71,54.12,48.07,54.14,64.81,53.96,101.72,91.96,103.51,125.67,99.59
1994:Q1,55.63,62.95,73.27,106.67,111.61,51.88,53.29,53.47,55.37,42.41,29.02,83.65,143.66,129.75,56.15,48.66,56.21,49.61,55.62,65.04,54.00,97.45,95.40,91.97,128.11,99.10
