Quarter,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,S. Africa,Croatia,Israel,Slovenia,Colombia,Portugal
2019:Q2,127.79,111.32,131.84,115.67,117.84,124.09,102.95,125.05,113.09,116.3,117.95,95.55,118.43,137.03,112.05,114.75,124.15,137.73,142.16,119.24,111.01,119.05,154.28,130.4,138.03,110.13
2019:Q3,129.27,110.94,132.68,116.32,117.75,122.44,103.25,125.08,113.87,116.6,119.54,95.39,119.31,138.52,113.67,114.02,123.89,138.79,142.61,119.85,110.86,118.29,156.47,129.92,138.07,110.73
2019:Q4,129.62,111.69,133.52,116.8,117.46,124.2,103.45,123.8,114.29,116.97,121.46,94.86,120.11,139.68,114.92,116.34,123.87,139.34,141.97,120.83,110.7,120.32,157.03,126.93,137.31,111.11
2020:Q1,131.12,111.81,135.15,118.86,118.58,125.18,102.98,125.46,112.36,115.71,121.28,93.34,121.31,141.21,115.48,115.87,124.35,140.43,139.76,123.03,110.62,119.45,157.71,137.36,133.15,110.59
2020:Q2,134.62,109.68,149.54,119.58,116.69,126.14,102.94,124.11,110.29,114.24,122.92,92.17,122.83,141.87,117.52,114.07,125.72,142.17,137.84,128.52,92.73,123.68,160.27,128.59,132.05,111.33
2020:Q3,137.38,112.59,142.54,119.96,119.53,123.48,103.72,125.22,114.56,116.46,124.25,94.46,122.64,142.57,117.53,116.59,126.03,144.6,141.2,128.11,106.97,121.54,162.91,134.17,132.44,111.84
2020:Q4,136.45,113.95,140.26,119.7,120.21,122.5,104.62,126.21,117.06,116.93,125.68,94.78,121.77,143.71,117.63,118.22,127.64,146.75,143.74,128.25,108.66,124.84,162.87,137.74,133.13,112.6
2021:Q1,136.9,113.94,144.89,118.67,119.21,122.99,103.97,126.9,115.97,117.42,122.34,95.75,120.69,143.6,117.09,115.97,127.06,149.87,144.64,133.42,109.11,127.71,162.9,140.92,139.28,113.17
2021:Q2,136.27,114.93,142.98,118.76,119.54,124.85,104.75,126.81,116.83,117.61,124.5,97.07,120.06,142.79,116.95,117.12,127.77,150.23,144.5,129.57,108.74,130.11,164.09,139.65,139.37,113.57
2021:Q3,139.39,115.05,142.69,118.91,118.69,126.15,104.37,126.83,117.89,116.81,124.44,97.24,120.11,144.53,116.55,117.96,128.11,150.34,147.11,127,107.48,129.52,165.02,145.38,139.08,114.23
2021:Q4,138.25,112.59,139.28,119.04,119.13,128.51,103.26,125.93,118.92,115.9,123.83,97.05,120.37,145.18,116.47,117.06,128.26,150.25,146.75,124.68,109.16,133.88,164.53,145.4,137.55,114.56
2022:Q1,137.41,110.03,141.79,121.81,118.38,129.52,101.58,125.31,116.03,115.26,122.34,95.9,119.54,146.86,117.01,116.91,128.25,149.01,146.92,122.15,109.82,140.62,164.04,146.2,133.38,113.78
2022:Q2,135.29,112.16,140.07,121.68,117.68,126.58,101.77,125.14,115,113.94,123.73,96.25,118.71,145.68,115.73,117.45,126.2,148.8,144.61,121.27,108.78,140.36,165.46,144.08,130.41,112.75
2022:Q3,133.48,111.47,139.97,121.34,117.97,123.66,101.26,122.78,116.71,113.31,122.13,96.12,118.52,145.56,117.81,119.13,124.36,148.26,144.28,121.58,108.8,135.92,166.82,142.34,129.67,111.67
2022:Q4,129.75,110.29,141.86,121.63,116.94,124.87,102.06,120.98,118.31,114.55,120.17,94.06,118.06,146.05,117.19,117.34,122.98,146.7,143.23,122.28,109.14,136.82,167.02,141.14,128,111.95
2023:Q1,127.98,112.97,140.38,120.5,116.35,126.7,101.73,121.89,116.91,114.83,120,95.15,117.16,145.42,120.15,120.82,121.98,145.89,141.14,123.79,109.17,140.88,167.62,144.83,125.87,111.64
2023:Q2,126.23,114.14,140.18,120.67,116.98,127.09,102.81,123.17,116.99,116.39,121.3,95.64,116.33,145.05,120.01,120.31,120.29,145.71,141.41,124.62,108.31,139.85,170.17,146.42,124.5,112.21
2023:Q3,124.16,114.73,141.38,120.25,116.65,124.15,102.22,122.89,117.23,116.53,120.04,95.8,115.76,145.02,121.19,120.63,120.3,144.95,141.94,124.86,107.96,134.32,172.66,145.75,124.23,111.98
2023:Q4,124.48,116.24,141.11,120.42,116.66,124.67,101.52,122.64,118.23,117.13,119.95,96.75,115.37,145.48,121.01,120.82,119.12,145.03,142.5,125.04,107.63,136.34,172.49,147.43,123.74,112.61
2024:Q1,123.5,116.57,141.69,120.34,117.7,123.62,100.07,122.91,118.76,117.62,121.18,98.27,114.84,146.41,122.21,119.12,119.73,145.64,141.04,125.42,107.45,136.92,171.89,147.43,123.93,111.21
